,Source Account,Tweet Text,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
11,CBS,"RT @CodeBlackCBS: Return to Angels Memorial on Wednesday, May 2 for season 3 of #CodeBlack. https://t.co/ZmfuQhOwoU",Thu Jan 11 20:31:33 +0000 2018,0.0,0.0,1.0,0.0
12,CBS,#TBT to when @latelateshow's @JKCorden rolled into the 2017 #GRAMMYs! Don't miss him return to host The 60th Annual… https://t.co/CbczcnV3HK,Thu Jan 11 12:00:06 +0000 2018,0.1867,0.084,0.916,0.0
13,CBS,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,Wed Jan 10 17:15:18 +0000 2018,0.8553,0.344,0.656,0.0
14,CBS,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",Wed Jan 10 14:44:59 +0000 2018,0.0,0.0,1.0,0.0
15,CBS,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,Tue Jan 09 19:30:28 +0000 2018,0.1867,0.076,0.924,0.0
16,CBS,"?@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",Tue Jan 09 19:27:16 +0000 2018,0.836,0.317,0.683,0.0
17,CBS,RT @AmazingRaceCBS: This race is just getting started. Catch a new episode of The #AmazingRace tomorrow at 8/7c on CBS! https://t.co/Nab5DC…,Tue Jan 09 18:29:39 +0000 2018,0.0,0.0,1.0,0.0
18,CBS,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,Mon Jan 08 18:07:57 +0000 2018,0.0,0.0,1.0,0.0
19,CBS,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",Mon Jan 08 14:34:48 +0000 2018,0.0,0.0,1.0,0.0
20,CBS,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,Sun Jan 14 22:13:29 +0000 2018,0.9215,0.379,0.621,0.0
21,CBS,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",Sun Jan 14 19:12:26 +0000 2018,0.3182,0.242,0.628,0.13
22,CBS,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",Sun Jan 14 19:12:25 +0000 2018,0.1027,0.065,0.935,0.0
23,CBS,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",Sun Jan 14 19:11:33 +0000 2018,0.6705,0.244,0.756,0.0
24,CBS,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,Sun Jan 14 14:49:58 +0000 2018,-0.2244,0.0,0.905,0.095
25,CBS,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",Sun Jan 14 12:00:01 +0000 2018,0.5719,0.171,0.829,0.0
26,CBS,Don’t miss the AFC Divisional game! Stream the Tennessee Titans at New England Patriots LIVE tonight at 8:15PM ET w… https://t.co/X34bNfms3j,Sat Jan 13 14:32:07 +0000 2018,-0.2244,0.0,0.914,0.086
27,CBS,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,Fri Jan 12 21:39:27 +0000 2018,0.8016,0.297,0.703,0.0
28,CBS,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,Fri Jan 12 12:00:05 +0000 2018,0.7717,0.324,0.676,0.0
29,CBS,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,Thu Jan 11 20:34:24 +0000 2018,0.0,0.0,1.0,0.0
30,CBS,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,Thu Jan 11 20:31:42 +0000 2018,0.555,0.204,0.796,0.0
